OWNER CLASS PREDICTION: PredictionEvaluation [TruePositive=0, TrueNegative=2240, FalsePositive=0, FalseNegative=34]
MAJORITY CLASS LEVEL CALLERS PREDICTION: PredictionEvaluation [TruePositive=916, TrueNegative=1025, FalsePositive=103, FalseNegative=80]
MAJORITY CLASS LEVEL CALLEES PREDICTION: PredictionEvaluation [TruePositive=1799, TrueNegative=1914, FalsePositive=255, FalseNegative=160]
MAJORITY METHOD LEVEL CALLERS PREDICTION: PredictionEvaluation [TruePositive=957, TrueNegative=1054, FalsePositive=74, FalseNegative=39]
MAJORITY METHOD LEVEL CALLEES PREDICTION: PredictionEvaluation [TruePositive=1801, TrueNegative=1931, FalsePositive=238, FalseNegative=158]
AT LEAST 1 N PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=1089, FalsePositive=0, FalseNegative=175]
AT LEAST 1 N PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=1978, FalsePositive=0, FalseNegative=267]
AT LEAST 1 N PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=1089, FalsePositive=0, FalseNegative=175]
AT LEAST 1 N PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=1978, FalsePositive=0, FalseNegative=267]
AT LEAST 1 T PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=962, TrueNegative=0, FalsePositive=143, FalseNegative=0]
AT LEAST 1 T PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=1816, TrueNegative=0, FalsePositive=272, FalseNegative=0]
AT LEAST 1 T PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=962, TrueNegative=0, FalsePositive=143, FalseNegative=0]
AT LEAST 1 T PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=1816, TrueNegative=0, FalsePositive=272, FalseNegative=0]
AT LEAST 2 N PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=373, FalsePositive=0, FalseNegative=98]
AT LEAST 2 N PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=268, FalsePositive=0, FalseNegative=47]
AT LEAST 2 N PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=905, FalsePositive=0, FalseNegative=154]
AT LEAST 2 N PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=1645, FalsePositive=0, FalseNegative=148]
AT LEAST 2 T PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=413, TrueNegative=0, FalsePositive=84, FalseNegative=0]
AT LEAST 2 T PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=313, TrueNegative=0, FalsePositive=9, FalseNegative=0]
AT LEAST 2 T PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=962, TrueNegative=0, FalsePositive=143, FalseNegative=0]
AT LEAST 2 T PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=1542, TrueNegative=0, FalsePositive=168, FalseNegative=0]
ALL N CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=850, FalsePositive=0, FalseNegative=34]
ALL N CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=1853, FalsePositive=0, FalseNegative=137]
ALL N METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=850, FalsePositive=0, FalseNegative=34]
ALL N METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=1853, FalsePositive=0, FalseNegative=137]
ALL T CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=698, TrueNegative=0, FalsePositive=38, FalseNegative=0]
ALL T CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=1688, TrueNegative=0, FalsePositive=189, FalseNegative=0]
ALL T METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=698, TrueNegative=0, FalsePositive=38, FalseNegative=0]
MAJORITY PARAMETERS CLASS: PredictionEvaluation [TruePositive=143, TrueNegative=152, FalsePositive=35, FalseNegative=46]
AT LEAST 1N PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=153, FalsePositive=0, FalseNegative=47]
AT LEAST 1T PARAMETER CLASS: PredictionEvaluation [TruePositive=143, TrueNegative=0, FalsePositive=37, FalseNegative=0]
AT LEAST 2T PARAMETER CLASS: PredictionEvaluation [TruePositive=7, TrueNegative=0, FalsePositive=3, FalseNegative=0]
AT LEAST 2N PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=14, FalsePositive=0, FalseNegative=0]
ALL N PARAMETERS: PredictionEvaluation [TruePositive=0, TrueNegative=150, FalsePositive=0, FalseNegative=46]
ALL T PARAMETERS: PredictionEvaluation [TruePositive=142, TrueNegative=0, FalsePositive=34, FalseNegative=0]
