OWNER CLASS PREDICTION: PredictionEvaluation [TruePositive=0, TrueNegative=2153, FalsePositive=0, FalseNegative=3]
MAJORITY CLASS LEVEL CALLERS PREDICTION: PredictionEvaluation [TruePositive=387, TrueNegative=1054, FalsePositive=591, FalseNegative=12]
MAJORITY CLASS LEVEL CALLEES PREDICTION: PredictionEvaluation [TruePositive=761, TrueNegative=1954, FalsePositive=1253, FalseNegative=32]
MAJORITY METHOD LEVEL CALLERS PREDICTION: PredictionEvaluation [TruePositive=393, TrueNegative=1048, FalsePositive=597, FalseNegative=6]
MAJORITY METHOD LEVEL CALLEES PREDICTION: PredictionEvaluation [TruePositive=763, TrueNegative=1971, FalsePositive=1236, FalseNegative=30]
AT LEAST 1 N PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=1186, FalsePositive=0, FalseNegative=33]
AT LEAST 1 N PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=2069, FalsePositive=0, FalseNegative=84]
AT LEAST 1 N PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=1186, FalsePositive=0, FalseNegative=33]
AT LEAST 1 N PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=2069, FalsePositive=0, FalseNegative=84]
AT LEAST 1 T PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=393, TrueNegative=0, FalsePositive=669, FalseNegative=0]
AT LEAST 1 T PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=773, TrueNegative=0, FalsePositive=1275, FalseNegative=0]
AT LEAST 1 T PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=393, TrueNegative=0, FalsePositive=669, FalseNegative=0]
AT LEAST 1 T PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=773, TrueNegative=0, FalsePositive=1275, FalseNegative=0]
AT LEAST 2 N PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=434, FalsePositive=0, FalseNegative=23]
AT LEAST 2 N PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=276, FalsePositive=0, FalseNegative=35]
AT LEAST 2 N PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=1001, FalsePositive=0, FalseNegative=33]
AT LEAST 2 N PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=1725, FalsePositive=0, FalseNegative=58]
AT LEAST 2 T PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=189, TrueNegative=0, FalsePositive=291, FalseNegative=0]
AT LEAST 2 T PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=163, TrueNegative=0, FalsePositive=159, FalseNegative=0]
AT LEAST 2 T PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=393, TrueNegative=0, FalsePositive=669, FalseNegative=0]
AT LEAST 2 T PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=658, TrueNegative=0, FalsePositive=1050, FalseNegative=0]
ALL N CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=853, FalsePositive=0, FalseNegative=6]
ALL N CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=1882, FalsePositive=0, FalseNegative=20]
ALL N METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=853, FalsePositive=0, FalseNegative=6]
ALL N METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=1882, FalsePositive=0, FalseNegative=20]
ALL T CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=311, TrueNegative=0, FalsePositive=396, FalseNegative=0]
ALL T CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=707, TrueNegative=0, FalsePositive=1134, FalseNegative=0]
ALL T METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=311, TrueNegative=0, FalsePositive=396, FalseNegative=0]
MAJORITY PARAMETERS CLASS: PredictionEvaluation [TruePositive=62, TrueNegative=186, FalsePositive=116, FalseNegative=12]
AT LEAST 1N PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=187, FalsePositive=0, FalseNegative=13]
AT LEAST 1T PARAMETER CLASS: PredictionEvaluation [TruePositive=62, TrueNegative=0, FalsePositive=118, FalseNegative=0]
AT LEAST 2T PARAMETER CLASS: PredictionEvaluation [TruePositive=3, TrueNegative=0, FalsePositive=7, FalseNegative=0]
AT LEAST 2N PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=14, FalsePositive=0, FalseNegative=0]
ALL N PARAMETERS: PredictionEvaluation [TruePositive=0, TrueNegative=184, FalsePositive=0, FalseNegative=12]
ALL T PARAMETERS: PredictionEvaluation [TruePositive=61, TrueNegative=0, FalsePositive=115, FalseNegative=0]
