OWNER CLASS PREDICTION: PredictionEvaluation [TruePositive=0, TrueNegative=2290, FalsePositive=0, FalseNegative=3]
MAJORITY CLASS LEVEL CALLERS PREDICTION: PredictionEvaluation [TruePositive=328, TrueNegative=876, FalsePositive=551, FalseNegative=30]
MAJORITY CLASS LEVEL CALLEES PREDICTION: PredictionEvaluation [TruePositive=560, TrueNegative=1486, FalsePositive=896, FalseNegative=21]
MAJORITY METHOD LEVEL CALLERS PREDICTION: PredictionEvaluation [TruePositive=328, TrueNegative=882, FalsePositive=545, FalseNegative=30]
MAJORITY METHOD LEVEL CALLEES PREDICTION: PredictionEvaluation [TruePositive=561, TrueNegative=1492, FalsePositive=890, FalseNegative=20]
AT LEAST 1 N PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=1020, FalsePositive=0, FalseNegative=59]
AT LEAST 1 N PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=1580, FalsePositive=0, FalseNegative=43]
AT LEAST 1 N PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=1020, FalsePositive=0, FalseNegative=59]
AT LEAST 1 N PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=1580, FalsePositive=0, FalseNegative=43]
AT LEAST 1 T PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=328, TrueNegative=0, FalsePositive=624, FalseNegative=0]
AT LEAST 1 T PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=570, TrueNegative=0, FalsePositive=915, FalseNegative=0]
AT LEAST 1 T PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=328, TrueNegative=0, FalsePositive=624, FalseNegative=0]
AT LEAST 1 T PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=570, TrueNegative=0, FalsePositive=915, FalseNegative=0]
AT LEAST 2 N PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=373, FalsePositive=0, FalseNegative=10]
AT LEAST 2 N PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=203, FalsePositive=0, FalseNegative=16]
AT LEAST 2 N PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=563, FalsePositive=0, FalseNegative=13]
AT LEAST 2 N PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=468, FalsePositive=0, FalseNegative=19]
AT LEAST 2 T PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=170, TrueNegative=0, FalsePositive=221, FalseNegative=0]
AT LEAST 2 T PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=97, TrueNegative=0, FalsePositive=120, FalseNegative=0]
AT LEAST 2 T PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=328, TrueNegative=0, FalsePositive=624, FalseNegative=0]
AT LEAST 2 T PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=239, TrueNegative=0, FalsePositive=366, FalseNegative=0]
ALL N CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=658, FalsePositive=0, FalseNegative=30]
ALL N CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=1455, FalsePositive=0, FalseNegative=11]
ALL N METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=658, FalsePositive=0, FalseNegative=30]
ALL N METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=1455, FalsePositive=0, FalseNegative=11]
ALL T CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=230, TrueNegative=0, FalsePositive=341, FalseNegative=0]
ALL T CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=536, TrueNegative=0, FalsePositive=802, FalseNegative=0]
ALL T METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=230, TrueNegative=0, FalsePositive=341, FalseNegative=0]
MAJORITY PARAMETERS CLASS: PredictionEvaluation [TruePositive=151, TrueNegative=416, FalsePositive=239, FalseNegative=19]
AT LEAST 1N PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=416, FalsePositive=0, FalseNegative=23]
AT LEAST 1T PARAMETER CLASS: PredictionEvaluation [TruePositive=151, TrueNegative=0, FalsePositive=239, FalseNegative=0]
AT LEAST 2T PARAMETER CLASS: PredictionEvaluation [TruePositive=16, TrueNegative=0, FalsePositive=0, FalseNegative=0]
AT LEAST 2N PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=12, FalsePositive=0, FalseNegative=0]
ALL N PARAMETERS: PredictionEvaluation [TruePositive=0, TrueNegative=416, FalsePositive=0, FalseNegative=19]
ALL T PARAMETERS: PredictionEvaluation [TruePositive=147, TrueNegative=0, FalsePositive=239, FalseNegative=0]
