OWNER CLASS PREDICTION: PredictionEvaluation [TruePositive=0, TrueNegative=2182, FalsePositive=0, FalseNegative=34]
MAJORITY CLASS LEVEL CALLERS PREDICTION: PredictionEvaluation [TruePositive=51, TrueNegative=0, FalsePositive=0, FalseNegative=24]
MAJORITY CLASS LEVEL CALLEES PREDICTION: PredictionEvaluation [TruePositive=55, TrueNegative=0, FalsePositive=0, FalseNegative=5]
MAJORITY METHOD LEVEL CALLERS PREDICTION: PredictionEvaluation [TruePositive=68, TrueNegative=0, FalsePositive=0, FalseNegative=7]
MAJORITY METHOD LEVEL CALLEES PREDICTION: PredictionEvaluation [TruePositive=52, TrueNegative=0, FalsePositive=0, FalseNegative=8]
AT LEAST 1 N PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=117]
AT LEAST 1 N PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=129]
AT LEAST 1 N PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=117]
AT LEAST 1 N PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=129]
AT LEAST 1 T PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=389, TrueNegative=0, FalsePositive=3, FalseNegative=0]
AT LEAST 1 T PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=739, TrueNegative=0, FalsePositive=1, FalseNegative=0]
AT LEAST 1 T PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=389, TrueNegative=0, FalsePositive=3, FalseNegative=0]
AT LEAST 1 T PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=739, TrueNegative=0, FalsePositive=1, FalseNegative=0]
ALL N CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=36]
ALL N CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=69]
ALL N METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=36]
ALL N METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=69]
ALL T CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=280, TrueNegative=0, FalsePositive=3, FalseNegative=0]
ALL T CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=679, TrueNegative=0, FalsePositive=1, FalseNegative=0]
ALL T METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=280, TrueNegative=0, FalsePositive=3, FalseNegative=0]
MAJORITY PARAMETERS CLASS: PredictionEvaluation [TruePositive=189, TrueNegative=0, FalsePositive=4, FalseNegative=60]
AT LEAST 1N PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=61]
AT LEAST 1T PARAMETER CLASS: PredictionEvaluation [TruePositive=189, TrueNegative=0, FalsePositive=4, FalseNegative=0]
ALL N PARAMETERS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=60]
ALL T PARAMETERS: PredictionEvaluation [TruePositive=188, TrueNegative=0, FalsePositive=4, FalseNegative=0]
