MethodID, MethodName, RequirementID, RequirementName, ClassID, ClassName, Gold, Subject, OwnerClassT, OwnerClassN, OwnerClassE, #callermethods, callers, #callermethodsT, #callermethodsN, #callermethodsE, #callerclasses, #callerclassesT, #callerclassesN, #callerclassesE, #calleemethods, callees, #calleemethodsT, #calleemethodsN, #calleemethodsE, #calleeclasses, #calleeclassesT, #calleeclassesN, #calleeclassesE, OwnerClassPrediction, MajorityClassLevelCallers, MajorityClassLevelCallees, MajorityMethodLevelCallers, MajorityMethodLevelCallees,AtLeast1NPredictionClassLevelCallers, AtLeast1NPredictionClassLevelCallees, AtLeast1NPredictionMethodLevelCallers, AtLeast1NPredictionMethodLevelCallees, AtLeast1TPredictionClassLevelCallers, AtLeast1TPredictionClassLevelCallees, AtLeast1TPredictionMethodLevelCallers, AtLeast1TPredictionMethodLevelCallees,AllNClassLevelCallers, AllNClassLevelCallees, AllNMethodLevelCallers, AllNMethodLevelCallees,AllTClassLevelCallers, AllTClassLevelCallees, AllTMethodLevelCallers, AllTMethodLevelCallees, OnlyInParsedCallers, OnlyInExecutedCallers, BothParsedAndExecutedCallers, OnlyInParsedCallees, OnlyInExecutedCallees, BothParsedAndExecutedCallees #parameters, parameters, # Parameter T, # Parameter N, # Parameter EMajorityParameter ,AtLeast1NParameterPredictionAtLeast1TParameterPrediction, AllNParameterPrediction, AllTParameterPrediction
1,de.java_chess.javaChess.GameController.-init-,1,R0,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,30: methodname=jbInit]-,1,0,0,1,1,0,0,5,16: methodname=setGame]-18: methodname=setGameTimer]-17: methodname=setGameNotation]-14: methodname=setBoard]-15: methodname=setEngine]-,5,0,0,1,1,0,0,null,null,null,null,null,null,null,null,null,T,T,T,T,null,null,null,null,T,T,T,T,0,1,0,0,5,0,0,,null,null,null,null,null
1,de.java_chess.javaChess.GameController.-init-,2,R1,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,30: methodname=jbInit]-,0,1,0,1,0,1,0,5,16: methodname=setGame]-18: methodname=setGameTimer]-17: methodname=setGameNotation]-14: methodname=setBoard]-15: methodname=setEngine]-,0,5,0,1,0,1,0,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,1,0,0,5,0,0,,null,null,null,null,null
1,de.java_chess.javaChess.GameController.-init-,3,R2,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,30: methodname=jbInit]-,0,1,0,1,0,1,0,5,16: methodname=setGame]-18: methodname=setGameTimer]-17: methodname=setGameNotation]-14: methodname=setBoard]-15: methodname=setEngine]-,0,5,0,1,0,1,0,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,1,0,0,5,0,0,,null,null,null,null,null
1,de.java_chess.javaChess.GameController.-init-,4,R3,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,30: methodname=jbInit]-,0,1,0,1,0,1,0,5,16: methodname=setGame]-18: methodname=setGameTimer]-17: methodname=setGameNotation]-14: methodname=setBoard]-15: methodname=setEngine]-,5,0,0,1,1,0,0,null,null,null,null,null,null,N,null,N,T,null,T,null,null,N,null,N,T,null,T,null,0,1,0,0,5,0,0,,null,null,null,null,null
1,de.java_chess.javaChess.GameController.-init-,5,R4,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,30: methodname=jbInit]-,1,0,0,1,1,0,0,5,16: methodname=setGame]-18: methodname=setGameTimer]-17: methodname=setGameNotation]-14: methodname=setBoard]-15: methodname=setEngine]-,0,5,0,1,0,1,0,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,1,0,0,5,0,0,,null,null,null,null,null
1,de.java_chess.javaChess.GameController.-init-,6,R5,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,30: methodname=jbInit]-,0,1,0,1,0,1,0,5,16: methodname=setGame]-18: methodname=setGameTimer]-17: methodname=setGameNotation]-14: methodname=setBoard]-15: methodname=setEngine]-,5,0,0,1,1,0,0,null,null,null,null,null,null,N,null,N,T,null,T,null,null,N,null,N,T,null,T,null,0,1,0,0,5,0,0,,null,null,null,null,null
1,de.java_chess.javaChess.GameController.-init-,7,R6,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,30: methodname=jbInit]-,0,1,0,1,0,1,0,5,16: methodname=setGame]-18: methodname=setGameTimer]-17: methodname=setGameNotation]-14: methodname=setBoard]-15: methodname=setEngine]-,5,0,0,1,1,0,0,null,null,null,null,null,null,N,null,N,T,null,T,null,null,N,null,N,T,null,T,null,0,1,0,0,5,0,0,,null,null,null,null,null
1,de.java_chess.javaChess.GameController.-init-,8,R7,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,30: methodname=jbInit]-,0,1,0,1,0,1,0,5,16: methodname=setGame]-18: methodname=setGameTimer]-17: methodname=setGameNotation]-14: methodname=setBoard]-15: methodname=setEngine]-,0,5,0,1,0,1,0,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,1,0,0,5,0,0,,null,null,null,null,null
3,de.java_chess.javaChess.GameController.computerPly,1,R0,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,22: methodname=toggleMoveRight()]-,1,0,0,1,1,0,0,8,196: methodname=startPermanentBrain]-146: methodname=startPermanentBrain()]-5: methodname=doPly]-135: methodname=computeBestPly()]-8: methodname=getEngine]-8: methodname=getEngine()]-5: methodname=doPly(de.java_chess.javaChess.ply.Ply)]-155: methodname=computeBestPly]-,8,0,0,3,3,0,0,null,null,null,null,null,null,null,null,null,T,T,T,T,null,null,null,null,T,T,T,T,0,0,1,2,4,0,0,,null,null,null,null,null
3,de.java_chess.javaChess.GameController.computerPly,2,R1,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,22: methodname=toggleMoveRight()]-,0,1,0,1,0,1,0,8,196: methodname=startPermanentBrain]-146: methodname=startPermanentBrain()]-5: methodname=doPly]-135: methodname=computeBestPly()]-8: methodname=getEngine]-8: methodname=getEngine()]-5: methodname=doPly(de.java_chess.javaChess.ply.Ply)]-155: methodname=computeBestPly]-,4,4,0,3,2,1,0,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,1,2,4,0,0,,null,null,null,null,null
3,de.java_chess.javaChess.GameController.computerPly,3,R2,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,22: methodname=toggleMoveRight()]-,0,1,0,1,0,1,0,8,196: methodname=startPermanentBrain]-146: methodname=startPermanentBrain()]-5: methodname=doPly]-135: methodname=computeBestPly()]-8: methodname=getEngine]-8: methodname=getEngine()]-5: methodname=doPly(de.java_chess.javaChess.ply.Ply)]-155: methodname=computeBestPly]-,0,8,0,3,0,3,0,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,1,2,4,0,0,,null,null,null,null,null
3,de.java_chess.javaChess.GameController.computerPly,4,R3,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,22: methodname=toggleMoveRight()]-,1,0,0,1,1,0,0,8,196: methodname=startPermanentBrain]-146: methodname=startPermanentBrain()]-5: methodname=doPly]-135: methodname=computeBestPly()]-8: methodname=getEngine]-8: methodname=getEngine()]-5: methodname=doPly(de.java_chess.javaChess.ply.Ply)]-155: methodname=computeBestPly]-,8,0,0,3,3,0,0,null,null,null,null,null,null,null,null,null,T,T,T,T,null,null,null,null,T,T,T,T,0,0,1,2,4,0,0,,null,null,null,null,null
3,de.java_chess.javaChess.GameController.computerPly,5,R4,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,22: methodname=toggleMoveRight()]-,0,1,0,1,0,1,0,8,196: methodname=startPermanentBrain]-146: methodname=startPermanentBrain()]-5: methodname=doPly]-135: methodname=computeBestPly()]-8: methodname=getEngine]-8: methodname=getEngine()]-5: methodname=doPly(de.java_chess.javaChess.ply.Ply)]-155: methodname=computeBestPly]-,4,4,0,3,2,1,0,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,1,2,4,0,0,,null,null,null,null,null
3,de.java_chess.javaChess.GameController.computerPly,6,R5,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,22: methodname=toggleMoveRight()]-,1,0,0,1,1,0,0,8,196: methodname=startPermanentBrain]-146: methodname=startPermanentBrain()]-5: methodname=doPly]-135: methodname=computeBestPly()]-8: methodname=getEngine]-8: methodname=getEngine()]-5: methodname=doPly(de.java_chess.javaChess.ply.Ply)]-155: methodname=computeBestPly]-,8,0,0,3,3,0,0,null,null,null,null,null,null,null,null,null,T,T,T,T,null,null,null,null,T,T,T,T,0,0,1,2,4,0,0,,null,null,null,null,null
3,de.java_chess.javaChess.GameController.computerPly,7,R6,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,22: methodname=toggleMoveRight()]-,1,0,0,1,1,0,0,8,196: methodname=startPermanentBrain]-146: methodname=startPermanentBrain()]-5: methodname=doPly]-135: methodname=computeBestPly()]-8: methodname=getEngine]-8: methodname=getEngine()]-5: methodname=doPly(de.java_chess.javaChess.ply.Ply)]-155: methodname=computeBestPly]-,8,0,0,3,3,0,0,null,null,null,null,null,null,null,null,null,T,T,T,T,null,null,null,null,T,T,T,T,0,0,1,2,4,0,0,,null,null,null,null,null
3,de.java_chess.javaChess.GameController.computerPly,8,R7,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,22: methodname=toggleMoveRight()]-,0,1,0,1,0,1,0,8,196: methodname=startPermanentBrain]-146: methodname=startPermanentBrain()]-5: methodname=doPly]-135: methodname=computeBestPly()]-8: methodname=getEngine]-8: methodname=getEngine()]-5: methodname=doPly(de.java_chess.javaChess.ply.Ply)]-155: methodname=computeBestPly]-,0,8,0,3,0,3,0,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,1,2,4,0,0,,null,null,null,null,null
4,de.java_chess.javaChess.GameController.convertUserPly,1,R0,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,23: methodname=userPly(de.java_chess.javaChess.ply.Ply)]-,1,0,0,1,1,0,0,13,528: methodname=getType]-587: methodname=getSquareIndex]-223: methodname=getLastPly()]-92: methodname=getType()]-28: methodname=getInstance()]-564: methodname=getSource]-7: methodname=getBoard]-563: methodname=getDestination]-68: methodname=getPiece(de.java_chess.javaChess.position.Position)]-116: methodname=getPieceType()]-512: methodname=setCapture(boolean)]-503: methodname=getDestination()]-566: methodname=setCapture]-557: methodname=getSource()]-7: methodname=getBoard()]-579: methodname=getSquareIndex()]-68: methodname=getPiece]-,9,0,4,9,7,0,2,null,null,null,null,null,null,null,null,null,T,T,T,T,null,null,null,null,null,T,null,T,0,0,1,8,7,0,2,Parameter [parameterName=Ply ply/ ParameterType=[classid=74/ classname=de.java_chess.javaChess.ply.Ply]/ OwnerClass=[classid=1/ classname=de.java_chess.javaChess.GameController]/ isReturn=0]-Parameter [parameterName=de.java_chess.javaChess.ply.Ply/ ParameterType=[classid=74/ classname=de.java_chess.javaChess.ply.Ply]/ OwnerClass=[classid=1/ classname=de.java_chess.javaChess.GameController]/ isReturn=1]-,null,null,null,null,null
4,de.java_chess.javaChess.GameController.convertUserPly,2,R1,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,23: methodname=userPly(de.java_chess.javaChess.ply.Ply)]-,0,1,0,1,0,1,0,13,528: methodname=getType]-587: methodname=getSquareIndex]-223: methodname=getLastPly()]-92: methodname=getType()]-28: methodname=getInstance()]-564: methodname=getSource]-7: methodname=getBoard]-563: methodname=getDestination]-68: methodname=getPiece(de.java_chess.javaChess.position.Position)]-116: methodname=getPieceType()]-512: methodname=setCapture(boolean)]-503: methodname=getDestination()]-566: methodname=setCapture]-557: methodname=getSource()]-7: methodname=getBoard()]-579: methodname=getSquareIndex()]-68: methodname=getPiece]-,5,4,4,9,4,3,2,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,1,8,7,0,2,Parameter [parameterName=Ply ply/ ParameterType=[classid=74/ classname=de.java_chess.javaChess.ply.Ply]/ OwnerClass=[classid=1/ classname=de.java_chess.javaChess.GameController]/ isReturn=0]-Parameter [parameterName=de.java_chess.javaChess.ply.Ply/ ParameterType=[classid=74/ classname=de.java_chess.javaChess.ply.Ply]/ OwnerClass=[classid=1/ classname=de.java_chess.javaChess.GameController]/ isReturn=1]-,null,null,null,null,null
4,de.java_chess.javaChess.GameController.convertUserPly,3,R2,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,23: methodname=userPly(de.java_chess.javaChess.ply.Ply)]-,0,1,0,1,0,1,0,13,528: methodname=getType]-587: methodname=getSquareIndex]-223: methodname=getLastPly()]-92: methodname=getType()]-28: methodname=getInstance()]-564: methodname=getSource]-7: methodname=getBoard]-563: methodname=getDestination]-68: methodname=getPiece(de.java_chess.javaChess.position.Position)]-116: methodname=getPieceType()]-512: methodname=setCapture(boolean)]-503: methodname=getDestination()]-566: methodname=setCapture]-557: methodname=getSource()]-7: methodname=getBoard()]-579: methodname=getSquareIndex()]-68: methodname=getPiece]-,0,9,4,9,0,7,2,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,1,8,7,0,2,Parameter [parameterName=Ply ply/ ParameterType=[classid=74/ classname=de.java_chess.javaChess.ply.Ply]/ OwnerClass=[classid=1/ classname=de.java_chess.javaChess.GameController]/ isReturn=0]-Parameter [parameterName=de.java_chess.javaChess.ply.Ply/ ParameterType=[classid=74/ classname=de.java_chess.javaChess.ply.Ply]/ OwnerClass=[classid=1/ classname=de.java_chess.javaChess.GameController]/ isReturn=1]-,null,null,null,null,null
4,de.java_chess.javaChess.GameController.convertUserPly,4,R3,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,23: methodname=userPly(de.java_chess.javaChess.ply.Ply)]-,1,0,0,1,1,0,0,13,528: methodname=getType]-587: methodname=getSquareIndex]-223: methodname=getLastPly()]-92: methodname=getType()]-28: methodname=getInstance()]-564: methodname=getSource]-7: methodname=getBoard]-563: methodname=getDestination]-68: methodname=getPiece(de.java_chess.javaChess.position.Position)]-116: methodname=getPieceType()]-512: methodname=setCapture(boolean)]-503: methodname=getDestination()]-566: methodname=setCapture]-557: methodname=getSource()]-7: methodname=getBoard()]-579: methodname=getSquareIndex()]-68: methodname=getPiece]-,7,2,4,9,5,2,2,null,T,null,T,null,N,null,N,null,T,T,T,T,null,null,null,null,null,T,null,T,0,0,1,8,7,0,2,Parameter [parameterName=Ply ply/ ParameterType=[classid=74/ classname=de.java_chess.javaChess.ply.Ply]/ OwnerClass=[classid=1/ classname=de.java_chess.javaChess.GameController]/ isReturn=0]-Parameter [parameterName=de.java_chess.javaChess.ply.Ply/ ParameterType=[classid=74/ classname=de.java_chess.javaChess.ply.Ply]/ OwnerClass=[classid=1/ classname=de.java_chess.javaChess.GameController]/ isReturn=1]-,null,null,null,null,null
4,de.java_chess.javaChess.GameController.convertUserPly,5,R4,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,23: methodname=userPly(de.java_chess.javaChess.ply.Ply)]-,0,1,0,1,0,1,0,13,528: methodname=getType]-587: methodname=getSquareIndex]-223: methodname=getLastPly()]-92: methodname=getType()]-28: methodname=getInstance()]-564: methodname=getSource]-7: methodname=getBoard]-563: methodname=getDestination]-68: methodname=getPiece(de.java_chess.javaChess.position.Position)]-116: methodname=getPieceType()]-512: methodname=setCapture(boolean)]-503: methodname=getDestination()]-566: methodname=setCapture]-557: methodname=getSource()]-7: methodname=getBoard()]-579: methodname=getSquareIndex()]-68: methodname=getPiece]-,1,8,4,9,1,6,2,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,1,8,7,0,2,Parameter [parameterName=Ply ply/ ParameterType=[classid=74/ classname=de.java_chess.javaChess.ply.Ply]/ OwnerClass=[classid=1/ classname=de.java_chess.javaChess.GameController]/ isReturn=0]-Parameter [parameterName=de.java_chess.javaChess.ply.Ply/ ParameterType=[classid=74/ classname=de.java_chess.javaChess.ply.Ply]/ OwnerClass=[classid=1/ classname=de.java_chess.javaChess.GameController]/ isReturn=1]-,null,null,null,null,null
4,de.java_chess.javaChess.GameController.convertUserPly,6,R5,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,23: methodname=userPly(de.java_chess.javaChess.ply.Ply)]-,1,0,0,1,1,0,0,13,528: methodname=getType]-587: methodname=getSquareIndex]-223: methodname=getLastPly()]-92: methodname=getType()]-28: methodname=getInstance()]-564: methodname=getSource]-7: methodname=getBoard]-563: methodname=getDestination]-68: methodname=getPiece(de.java_chess.javaChess.position.Position)]-116: methodname=getPieceType()]-512: methodname=setCapture(boolean)]-503: methodname=getDestination()]-566: methodname=setCapture]-557: methodname=getSource()]-7: methodname=getBoard()]-579: methodname=getSquareIndex()]-68: methodname=getPiece]-,8,1,4,9,6,1,2,null,T,null,T,null,N,null,N,null,T,T,T,T,null,null,null,null,null,T,null,T,0,0,1,8,7,0,2,Parameter [parameterName=Ply ply/ ParameterType=[classid=74/ classname=de.java_chess.javaChess.ply.Ply]/ OwnerClass=[classid=1/ classname=de.java_chess.javaChess.GameController]/ isReturn=0]-Parameter [parameterName=de.java_chess.javaChess.ply.Ply/ ParameterType=[classid=74/ classname=de.java_chess.javaChess.ply.Ply]/ OwnerClass=[classid=1/ classname=de.java_chess.javaChess.GameController]/ isReturn=1]-,null,null,null,null,null
