OWNER CLASS PREDICTION: PredictionEvaluation [TruePositive=0, TrueNegative=2400, FalsePositive=0, FalseNegative=23]
MAJORITY CLASS LEVEL CALLERS PREDICTION: PredictionEvaluation [TruePositive=30, TrueNegative=2008, FalsePositive=84, FalseNegative=34]
MAJORITY CLASS LEVEL CALLEES PREDICTION: PredictionEvaluation [TruePositive=38, TrueNegative=2383, FalsePositive=116, FalseNegative=29]
MAJORITY METHOD LEVEL CALLERS PREDICTION: PredictionEvaluation [TruePositive=25, TrueNegative=2025, FalsePositive=67, FalseNegative=39]
MAJORITY METHOD LEVEL CALLEES PREDICTION: PredictionEvaluation [TruePositive=38, TrueNegative=2391, FalsePositive=108, FalseNegative=29]
AT LEAST 1 N PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=2057, FalsePositive=0, FalseNegative=52]
AT LEAST 1 N PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=2419, FalsePositive=0, FalseNegative=36]
AT LEAST 1 N PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=2057, FalsePositive=0, FalseNegative=52]
AT LEAST 1 N PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=2419, FalsePositive=0, FalseNegative=36]
AT LEAST 1 T PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=48, TrueNegative=0, FalsePositive=237, FalseNegative=0]
AT LEAST 1 T PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=52, TrueNegative=0, FalsePositive=176, FalseNegative=0]
AT LEAST 1 T PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=48, TrueNegative=0, FalsePositive=237, FalseNegative=0]
AT LEAST 1 T PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=52, TrueNegative=0, FalsePositive=176, FalseNegative=0]
AT LEAST 2 N PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=1373, FalsePositive=0, FalseNegative=29]
AT LEAST 2 N PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=952, FalsePositive=0, FalseNegative=19]
AT LEAST 2 N PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=1799, FalsePositive=0, FalseNegative=49]
AT LEAST 2 N PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=1582, FalsePositive=0, FalseNegative=22]
AT LEAST 2 T PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=14, TrueNegative=0, FalsePositive=60, FalseNegative=0]
AT LEAST 2 T PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=16, TrueNegative=0, FalsePositive=46, FalseNegative=0]
AT LEAST 2 T PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=30, TrueNegative=0, FalsePositive=116, FalseNegative=0]
AT LEAST 2 T PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=34, TrueNegative=0, FalsePositive=89, FalseNegative=0]
ALL N CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=1855, FalsePositive=0, FalseNegative=16]
ALL N CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=2323, FalsePositive=0, FalseNegative=15]
ALL N METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=1855, FalsePositive=0, FalseNegative=16]
ALL N METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=2323, FalsePositive=0, FalseNegative=15]
ALL T CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=12, TrueNegative=0, FalsePositive=35, FalseNegative=0]
ALL T CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=31, TrueNegative=0, FalsePositive=80, FalseNegative=0]
ALL T METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=12, TrueNegative=0, FalsePositive=35, FalseNegative=0]
MAJORITY PARAMETERS CLASS: PredictionEvaluation [TruePositive=19, TrueNegative=1298, FalsePositive=124, FalseNegative=15]
AT LEAST 1N PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=1310, FalsePositive=0, FalseNegative=15]
AT LEAST 1T PARAMETER CLASS: PredictionEvaluation [TruePositive=19, TrueNegative=0, FalsePositive=124, FalseNegative=0]
AT LEAST 2T PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=6, FalseNegative=0]
AT LEAST 2N PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=126, FalsePositive=0, FalseNegative=0]
ALL N PARAMETERS: PredictionEvaluation [TruePositive=0, TrueNegative=1298, FalsePositive=0, FalseNegative=15]
ALL T PARAMETERS: PredictionEvaluation [TruePositive=19, TrueNegative=0, FalsePositive=112, FalseNegative=0]
