MethodID, MethodName, RequirementID, RequirementName, ClassID, ClassName, Gold, Subject, OwnerClassT, OwnerClassN, OwnerClassE, #callermethods, #callermethodsT, #callermethodsN, #callermethodsE, #callerclasses, #callerclassesT, #callerclassesN, #callerclassesE, #calleemethods, #calleemethodsT, #calleemethodsN, #calleemethodsE, #calleeclasses, #calleeclassesT, #calleeclassesN, #calleeclassesE, CalleePrediction, CallerPrediction
1,de.java_chess.javaChess.GameController.-init-,1,R0,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,1,0,0,1,1,0,0,5,5,0,0,1,1,0,0,null,null
1,de.java_chess.javaChess.GameController.-init-,2,R1,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,0,1,0,1,0,1,0,5,0,5,0,1,0,1,0,null,null
1,de.java_chess.javaChess.GameController.-init-,3,R2,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,0,1,0,1,0,1,0,5,0,5,0,1,0,1,0,null,null
1,de.java_chess.javaChess.GameController.-init-,4,R3,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,1,0,0,1,0,1,0,5,5,0,0,1,1,0,0,null,null
1,de.java_chess.javaChess.GameController.-init-,5,R4,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,0,1,0,1,1,0,0,5,0,5,0,1,0,1,0,null,null
1,de.java_chess.javaChess.GameController.-init-,6,R5,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,1,0,0,1,0,1,0,5,5,0,0,1,1,0,0,null,null
1,de.java_chess.javaChess.GameController.-init-,7,R6,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,1,0,0,1,0,1,0,5,5,0,0,1,1,0,0,null,null
1,de.java_chess.javaChess.GameController.-init-,8,R7,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,0,1,0,1,0,1,0,5,0,5,0,1,0,1,0,null,null
3,de.java_chess.javaChess.GameController.computerPly,1,R0,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,1,0,0,1,1,0,0,4,4,0,0,2,2,0,0,null,null
3,de.java_chess.javaChess.GameController.computerPly,2,R1,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,0,1,0,1,0,1,0,4,0,4,0,2,1,1,0,null,null
3,de.java_chess.javaChess.GameController.computerPly,3,R2,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,0,1,0,1,0,1,0,4,0,4,0,2,0,2,0,null,null
3,de.java_chess.javaChess.GameController.computerPly,4,R3,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,1,0,0,1,1,0,0,4,4,0,0,2,2,0,0,null,null
3,de.java_chess.javaChess.GameController.computerPly,5,R4,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,0,1,0,1,0,1,0,4,0,4,0,2,1,1,0,null,null
