OWNER CLASS PREDICTION: PredictionEvaluation [TruePositive=0, TrueNegative=35696, FalsePositive=0, FalseNegative=68]
MAJORITY CLASS LEVEL CALLERS PREDICTION: PredictionEvaluation [TruePositive=1011, TrueNegative=35, FalsePositive=30, FalseNegative=1150]
MAJORITY CLASS LEVEL CALLEES PREDICTION: PredictionEvaluation [TruePositive=439, TrueNegative=9, FalsePositive=7, FalseNegative=260]
MAJORITY METHOD LEVEL CALLERS PREDICTION: PredictionEvaluation [TruePositive=1141, TrueNegative=37, FalsePositive=28, FalseNegative=1020]
MAJORITY METHOD LEVEL CALLEES PREDICTION: PredictionEvaluation [TruePositive=450, TrueNegative=9, FalsePositive=7, FalseNegative=252]
AT LEAST 1 N PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=216, FalsePositive=0, FalseNegative=2719]
AT LEAST 1 N PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=117, FalsePositive=0, FalseNegative=1374]
AT LEAST 1 N PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=216, FalsePositive=0, FalseNegative=2719]
AT LEAST 1 N PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=117, FalsePositive=0, FalseNegative=1374]
AT LEAST 1 T PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=3545, TrueNegative=0, FalsePositive=75, FalseNegative=0]
AT LEAST 1 T PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=2086, TrueNegative=0, FalsePositive=53, FalseNegative=0]
AT LEAST 1 T PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=3545, TrueNegative=0, FalsePositive=75, FalseNegative=0]
AT LEAST 1 T PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=2086, TrueNegative=0, FalsePositive=53, FalseNegative=0]
ALL N CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=135, FalsePositive=0, FalseNegative=555]
ALL N CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=101, FalsePositive=0, FalseNegative=642]
ALL N METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=135, FalsePositive=0, FalseNegative=555]
ALL N METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=101, FalsePositive=0, FalseNegative=642]
ALL T CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=1327, TrueNegative=0, FalsePositive=10, FalseNegative=0]
ALL T CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=1310, TrueNegative=0, FalsePositive=37, FalseNegative=0]
ALL T METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=1327, TrueNegative=0, FalsePositive=10, FalseNegative=0]
ALL T METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=1310, TrueNegative=0, FalsePositive=37, FalseNegative=0]
MAJORITY PARAMETERS CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=0]
AT LEAST 1N PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=0]
AT LEAST 1T PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=0]
ALL N PARAMETERS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=0]
ALL T PARAMETERS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=0]
