OWNER CLASS PREDICTION: PredictionEvaluation [TruePositive=0, TrueNegative=22205, FalsePositive=0, FalseNegative=10955]
MAJORITY CLASS LEVEL CALLERS PREDICTION: PredictionEvaluation [TruePositive=1150, TrueNegative=12354, FalsePositive=2730, FalseNegative=6683]
MAJORITY CLASS LEVEL CALLEES PREDICTION: PredictionEvaluation [TruePositive=2734, TrueNegative=16852, FalsePositive=4797, FalseNegative=7200]
MAJORITY METHOD LEVEL CALLERS PREDICTION: PredictionEvaluation [TruePositive=1241, TrueNegative=12370, FalsePositive=2714, FalseNegative=6592]
MAJORITY METHOD LEVEL CALLEES PREDICTION: PredictionEvaluation [TruePositive=2717, TrueNegative=16755, FalsePositive=4894, FalseNegative=7217]
AT LEAST 1 N PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=13368, FalsePositive=0, FalseNegative=7149]
AT LEAST 1 N PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=18247, FalsePositive=0, FalseNegative=7672]
AT LEAST 1 N PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=13368, FalsePositive=0, FalseNegative=7149]
AT LEAST 1 N PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=18247, FalsePositive=0, FalseNegative=7672]
AT LEAST 1 T PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=2605, TrueNegative=0, FalsePositive=4364, FalseNegative=0]
AT LEAST 1 T PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=2783, TrueNegative=0, FalsePositive=5888, FalseNegative=0]
AT LEAST 1 T PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=2605, TrueNegative=0, FalsePositive=4364, FalseNegative=0]
AT LEAST 1 T PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=2783, TrueNegative=0, FalsePositive=5888, FalseNegative=0]
AT LEAST 2 N PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=6778, FalsePositive=0, FalseNegative=3743]
AT LEAST 2 N PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=5914, FalsePositive=0, FalseNegative=1106]
AT LEAST 2 N PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=9080, FalsePositive=0, FalseNegative=4492]
AT LEAST 2 N PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=10115, FalsePositive=0, FalseNegative=2432]
AT LEAST 2 T PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=1298, TrueNegative=0, FalsePositive=1637, FalseNegative=0]
AT LEAST 2 T PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=435, TrueNegative=0, FalsePositive=946, FalseNegative=0]
AT LEAST 2 T PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=1832, TrueNegative=0, FalsePositive=2477, FalseNegative=0]
AT LEAST 2 T PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=1073, TrueNegative=0, FalsePositive=2387, FalseNegative=0]
ALL N CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=10299, FalsePositive=0, FalseNegative=4625]
ALL N CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=14886, FalsePositive=0, FalseNegative=7060]
ALL N METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=10299, FalsePositive=0, FalseNegative=4625]
ALL N METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=14886, FalsePositive=0, FalseNegative=7060]
ALL T CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=679, TrueNegative=0, FalsePositive=1687, FalseNegative=0]
ALL T CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=2202, TrueNegative=0, FalsePositive=3278, FalseNegative=0]
ALL T METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=679, TrueNegative=0, FalsePositive=1687, FalseNegative=0]
MAJORITY PARAMETERS CLASS: PredictionEvaluation [TruePositive=247, TrueNegative=3889, FalsePositive=1474, FalseNegative=1134]
AT LEAST 1N PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=3980, FalsePositive=0, FalseNegative=1149]
AT LEAST 1T PARAMETER CLASS: PredictionEvaluation [TruePositive=248, TrueNegative=0, FalsePositive=1532, FalseNegative=0]
AT LEAST 2T PARAMETER CLASS: PredictionEvaluation [TruePositive=40, TrueNegative=0, FalsePositive=479, FalseNegative=0]
AT LEAST 2N PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=727, FalsePositive=0, FalseNegative=168]
ALL N PARAMETERS: PredictionEvaluation [TruePositive=0, TrueNegative=3831, FalsePositive=0, FalseNegative=1133]
ALL T PARAMETERS: PredictionEvaluation [TruePositive=232, TrueNegative=0, FalsePositive=1383, FalseNegative=0]
