 56, net.sourceforge.ganttproject.ChartComponentBase$AbstractChartImplementation.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 02: Delete Tasks, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 58, net.sourceforge.ganttproject.ChartComponentBase$AbstractChartImplementation.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 04: Add/Remove Tasks as Subtasks, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 60, net.sourceforge.ganttproject.ChartComponentBase$AbstractChartImplementation.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 06: Create Resources (person), leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 62, net.sourceforge.ganttproject.ChartComponentBase$AbstractChartImplementation.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 08: Maintain Resource Properties, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 64, net.sourceforge.ganttproject.ChartComponentBase$AbstractChartImplementation.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 10: Add/Remove Resources to Tasks Dependencies, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 66, net.sourceforge.ganttproject.ChartComponentBase$AbstractChartImplementation.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 12: Change Task Begin/End Times automatically with dependency changes, leaf, N, N, T, LeafMixedSurroundedT, IN, 1, 1, 0, 0, 0, 0
 68, net.sourceforge.ganttproject.ChartComponentBase$AbstractChartImplementation.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 14: Prevent Circular Dependencies, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 70, net.sourceforge.ganttproject.ChartComponentBase$AbstractChartImplementation.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 16: Add/Remove Holidays and Vacation Days, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 72, net.sourceforge.ganttproject.ChartComponentBase$AbstractChartImplementation.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, XXX: General Purpose Code, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 164, net.sourceforge.ganttproject.ChartComponentBase$MouseListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 02: Delete Tasks, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 166, net.sourceforge.ganttproject.ChartComponentBase$MouseListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 04: Add/Remove Tasks as Subtasks, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 168, net.sourceforge.ganttproject.ChartComponentBase$MouseListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 06: Create Resources (person), leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 170, net.sourceforge.ganttproject.ChartComponentBase$MouseListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 08: Maintain Resource Properties, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 172, net.sourceforge.ganttproject.ChartComponentBase$MouseListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 10: Add/Remove Resources to Tasks Dependencies, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 174, net.sourceforge.ganttproject.ChartComponentBase$MouseListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 12: Change Task Begin/End Times automatically with dependency changes, leaf, N, N, T, LeafMixedSurroundedT, IN, 1, 1, 0, 0, 0, 0
 176, net.sourceforge.ganttproject.ChartComponentBase$MouseListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 14: Prevent Circular Dependencies, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 178, net.sourceforge.ganttproject.ChartComponentBase$MouseListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 16: Add/Remove Holidays and Vacation Days, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 180, net.sourceforge.ganttproject.ChartComponentBase$MouseListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, XXX: General Purpose Code, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 218, net.sourceforge.ganttproject.ChartComponentBase$MouseMotionListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 02: Delete Tasks, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 220, net.sourceforge.ganttproject.ChartComponentBase$MouseMotionListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 04: Add/Remove Tasks as Subtasks, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 222, net.sourceforge.ganttproject.ChartComponentBase$MouseMotionListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 06: Create Resources (person), leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 224, net.sourceforge.ganttproject.ChartComponentBase$MouseMotionListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 08: Maintain Resource Properties, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 226, net.sourceforge.ganttproject.ChartComponentBase$MouseMotionListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 10: Add/Remove Resources to Tasks Dependencies, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 228, net.sourceforge.ganttproject.ChartComponentBase$MouseMotionListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 12: Change Task Begin/End Times automatically with dependency changes, leaf, N, N, T, LeafMixedSurroundedT, IN, 1, 1, 0, 0, 0, 0
 230, net.sourceforge.ganttproject.ChartComponentBase$MouseMotionListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 14: Prevent Circular Dependencies, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 232, net.sourceforge.ganttproject.ChartComponentBase$MouseMotionListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 16: Add/Remove Holidays and Vacation Days, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 234, net.sourceforge.ganttproject.ChartComponentBase$MouseMotionListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, XXX: General Purpose Code, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 236, net.sourceforge.ganttproject.ChartComponentBase$MouseWheelListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 02: Delete Tasks, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 238, net.sourceforge.ganttproject.ChartComponentBase$MouseWheelListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 04: Add/Remove Tasks as Subtasks, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 240, net.sourceforge.ganttproject.ChartComponentBase$MouseWheelListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 06: Create Resources (person), leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 242, net.sourceforge.ganttproject.ChartComponentBase$MouseWheelListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 08: Maintain Resource Properties, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 244, net.sourceforge.ganttproject.ChartComponentBase$MouseWheelListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 10: Add/Remove Resources to Tasks Dependencies, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 246, net.sourceforge.ganttproject.ChartComponentBase$MouseWheelListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 12: Change Task Begin/End Times automatically with dependency changes, leaf, N, N, N, LeafMixedSurroundedN, CN, 0, 1, 0, 0, 0, 0
 248, net.sourceforge.ganttproject.ChartComponentBase$MouseWheelListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 14: Prevent Circular Dependencies, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 250, net.sourceforge.ganttproject.ChartComponentBase$MouseWheelListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, 16: Add/Remove Holidays and Vacation Days, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 252, net.sourceforge.ganttproject.ChartComponentBase$MouseWheelListenerBase.-init-(net/sourceforge/ganttproject/ChartComponentBase;)V, XXX: General Purpose Code, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 956, net.sourceforge.ganttproject.GPTreeTableBase$DateCellEditor.-init-()V, 02: Delete Tasks, leaf, E, E, E		, 0, 0, 1, 0, 0, 0
 958, net.sourceforge.ganttproject.GPTreeTableBase$DateCellEditor.-init-()V, 04: Add/Remove Tasks as Subtasks, leaf, E, E, E		, 0, 0, 1, 0, 0, 0
 960, net.sourceforge.ganttproject.GPTreeTableBase$DateCellEditor.-init-()V, 06: Create Resources (person), leaf, E, E, E		, 0, 0, 1, 0, 0, 0
 962, net.sourceforge.ganttproject.GPTreeTableBase$DateCellEditor.-init-()V, 08: Maintain Resource Properties, leaf, E, E, E		, 0, 0, 1, 0, 0, 0
 964, net.sourceforge.ganttproject.GPTreeTableBase$DateCellEditor.-init-()V, 10: Add/Remove Resources to Tasks Dependencies, leaf, E, E, E		, 0, 0, 1, 0, 0, 0
 966, net.sourceforge.ganttproject.GPTreeTableBase$DateCellEditor.-init-()V, 12: Change Task Begin/End Times automatically with dependency changes, leaf, E, E, E		, 0, 0, 1, 0, 0, 0
 968, net.sourceforge.ganttproject.GPTreeTableBase$DateCellEditor.-init-()V, 14: Prevent Circular Dependencies, leaf, E, E, E		, 0, 0, 1, 0, 0, 0
 970, net.sourceforge.ganttproject.GPTreeTableBase$DateCellEditor.-init-()V, 16: Add/Remove Holidays and Vacation Days, leaf, E, E, E		, 0, 0, 1, 0, 0, 0
 972, net.sourceforge.ganttproject.GPTreeTableBase$DateCellEditor.-init-()V, XXX: General Purpose Code, leaf, E, E, E		, 0, 0, 1, 0, 0, 0
 1856, net.sourceforge.ganttproject.GanttGraphicArea$ChartImplementationBase.-init-(net/sourceforge/ganttproject/GanttGraphicArea;)V, 02: Delete Tasks, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 1858, net.sourceforge.ganttproject.GanttGraphicArea$ChartImplementationBase.-init-(net/sourceforge/ganttproject/GanttGraphicArea;)V, 04: Add/Remove Tasks as Subtasks, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 1860, net.sourceforge.ganttproject.GanttGraphicArea$ChartImplementationBase.-init-(net/sourceforge/ganttproject/GanttGraphicArea;)V, 06: Create Resources (person), inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 1862, net.sourceforge.ganttproject.GanttGraphicArea$ChartImplementationBase.-init-(net/sourceforge/ganttproject/GanttGraphicArea;)V, 08: Maintain Resource Properties, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 1864, net.sourceforge.ganttproject.GanttGraphicArea$ChartImplementationBase.-init-(net/sourceforge/ganttproject/GanttGraphicArea;)V, 10: Add/Remove Resources to Tasks Dependencies, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 1866, net.sourceforge.ganttproject.GanttGraphicArea$ChartImplementationBase.-init-(net/sourceforge/ganttproject/GanttGraphicArea;)V, 12: Change Task Begin/End Times automatically with dependency changes, inner, T, T, F, InnerBoundary, IT, 1, 0, 0, 0, 1, 0
 1868, net.sourceforge.ganttproject.GanttGraphicArea$ChartImplementationBase.-init-(net/sourceforge/ganttproject/GanttGraphicArea;)V, 14: Prevent Circular Dependencies, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 1870, net.sourceforge.ganttproject.GanttGraphicArea$ChartImplementationBase.-init-(net/sourceforge/ganttproject/GanttGraphicArea;)V, 16: Add/Remove Holidays and Vacation Days, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 1872, net.sourceforge.ganttproject.GanttGraphicArea$ChartImplementationBase.-init-(net/sourceforge/ganttproject/GanttGraphicArea;)V, XXX: General Purpose Code, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 1874, net.sourceforge.ganttproject.GanttGraphicArea$ChartImplementationBase.-init-(net/sourceforge/ganttproject/GanttGraphicArea;net/sourceforge/ganttproject/GanttGraphicArea;)V, 02: Delete Tasks, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 1876, net.sourceforge.ganttproject.GanttGraphicArea$ChartImplementationBase.-init-(net/sourceforge/ganttproject/GanttGraphicArea;net/sourceforge/ganttproject/GanttGraphicArea;)V, 04: Add/Remove Tasks as Subtasks, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 1878, net.sourceforge.ganttproject.GanttGraphicArea$ChartImplementationBase.-init-(net/sourceforge/ganttproject/GanttGraphicArea;net/sourceforge/ganttproject/GanttGraphicArea;)V, 06: Create Resources (person), inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 1880, net.sourceforge.ganttproject.GanttGraphicArea$ChartImplementationBase.-init-(net/sourceforge/ganttproject/GanttGraphicArea;net/sourceforge/ganttproject/GanttGraphicArea;)V, 08: Maintain Resource Properties, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 1882, net.sourceforge.ganttproject.GanttGraphicArea$ChartImplementationBase.-init-(net/sourceforge/ganttproject/GanttGraphicArea;net/sourceforge/ganttproject/GanttGraphicArea;)V, 10: Add/Remove Resources to Tasks Dependencies, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
