OWNER CLASS PREDICTION: PredictionEvaluation [TruePositive=0, TrueNegative=38832, FalsePositive=0, FalseNegative=35]
MAJORITY CLASS LEVEL CALLERS PREDICTION: PredictionEvaluation [TruePositive=1434, TrueNegative=26202, FalsePositive=990, FalseNegative=942]
MAJORITY CLASS LEVEL CALLEES PREDICTION: PredictionEvaluation [TruePositive=1878, TrueNegative=36318, FalsePositive=1428, FalseNegative=1368]
MAJORITY METHOD LEVEL CALLERS PREDICTION: PredictionEvaluation [TruePositive=1420, TrueNegative=26526, FalsePositive=666, FalseNegative=956]
MAJORITY METHOD LEVEL CALLEES PREDICTION: PredictionEvaluation [TruePositive=1898, TrueNegative=36404, FalsePositive=1342, FalseNegative=1348]
AT LEAST 1 N PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=26929, FalsePositive=0, FalseNegative=1552]
AT LEAST 1 N PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=37001, FalsePositive=0, FalseNegative=1835]
AT LEAST 1 N PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=26929, FalsePositive=0, FalseNegative=1552]
AT LEAST 1 N PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=37001, FalsePositive=0, FalseNegative=1835]
AT LEAST 1 T PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=1771, TrueNegative=0, FalsePositive=2223, FalseNegative=0]
AT LEAST 1 T PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=2239, TrueNegative=0, FalsePositive=2687, FalseNegative=0]
AT LEAST 1 T PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=1771, TrueNegative=0, FalsePositive=2223, FalseNegative=0]
AT LEAST 1 T PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=2239, TrueNegative=0, FalsePositive=2687, FalseNegative=0]
AT LEAST 2 N PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=14578, FalsePositive=0, FalseNegative=611]
AT LEAST 2 N PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=16062, FalsePositive=0, FalseNegative=775]
AT LEAST 2 N PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=21826, FalsePositive=0, FalseNegative=1114]
AT LEAST 2 N PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=26314, FalsePositive=0, FalseNegative=1005]
AT LEAST 2 T PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=524, TrueNegative=0, FalsePositive=485, FalseNegative=0]
AT LEAST 2 T PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=617, TrueNegative=0, FalsePositive=696, FalseNegative=0]
AT LEAST 2 T PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=1408, TrueNegative=0, FalsePositive=1090, FalseNegative=0]
AT LEAST 2 T PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=1546, TrueNegative=0, FalsePositive=1376, FalseNegative=0]
ALL N CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=24969, FalsePositive=0, FalseNegative=605]
ALL N CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=35059, FalsePositive=0, FalseNegative=1007]
ALL N METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=24969, FalsePositive=0, FalseNegative=605]
ALL N METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=35059, FalsePositive=0, FalseNegative=1007]
ALL T CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=824, TrueNegative=0, FalsePositive=263, FalseNegative=0]
ALL T CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=1411, TrueNegative=0, FalsePositive=745, FalseNegative=0]
ALL T METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=824, TrueNegative=0, FalsePositive=263, FalseNegative=0]
MAJORITY PARAMETERS CLASS: PredictionEvaluation [TruePositive=425, TrueNegative=12472, FalsePositive=1198, FalseNegative=731]
AT LEAST 1N PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=12619, FalsePositive=0, FalseNegative=743]
AT LEAST 1T PARAMETER CLASS: PredictionEvaluation [TruePositive=425, TrueNegative=0, FalsePositive=1218, FalseNegative=0]
AT LEAST 2T PARAMETER CLASS: PredictionEvaluation [TruePositive=29, TrueNegative=0, FalsePositive=44, FalseNegative=0]
AT LEAST 2N PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=1672, FalsePositive=0, FalseNegative=55]
ALL N PARAMETERS: PredictionEvaluation [TruePositive=0, TrueNegative=12452, FalsePositive=0, FalseNegative=731]
ALL T PARAMETERS: PredictionEvaluation [TruePositive=413, TrueNegative=0, FalsePositive=1051, FalseNegative=0]
