OWNER CLASS PREDICTION: PredictionEvaluation [TruePositive=0, TrueNegative=2658, FalsePositive=0, FalseNegative=27]
MAJORITY CLASS LEVEL CALLERS PREDICTION: PredictionEvaluation [TruePositive=33, TrueNegative=2228, FalsePositive=134, FalseNegative=39]
MAJORITY CLASS LEVEL CALLEES PREDICTION: PredictionEvaluation [TruePositive=41, TrueNegative=2602, FalsePositive=188, FalseNegative=34]
MAJORITY METHOD LEVEL CALLERS PREDICTION: PredictionEvaluation [TruePositive=28, TrueNegative=2267, FalsePositive=95, FalseNegative=44]
MAJORITY METHOD LEVEL CALLEES PREDICTION: PredictionEvaluation [TruePositive=41, TrueNegative=2612, FalsePositive=178, FalseNegative=34]
AT LEAST 1 N PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=2316, FalsePositive=0, FalseNegative=59]
AT LEAST 1 N PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=2662, FalsePositive=0, FalseNegative=43]
AT LEAST 1 N PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=2316, FalsePositive=0, FalseNegative=59]
AT LEAST 1 N PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=2662, FalsePositive=0, FalseNegative=43]
AT LEAST 1 T PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=61, TrueNegative=0, FalsePositive=338, FalseNegative=0]
AT LEAST 1 T PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=55, TrueNegative=0, FalsePositive=275, FalseNegative=0]
AT LEAST 1 T PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=61, TrueNegative=0, FalsePositive=338, FalseNegative=0]
AT LEAST 1 T PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=55, TrueNegative=0, FalsePositive=275, FalseNegative=0]
AT LEAST 2 N PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=1761, FalsePositive=0, FalseNegative=43]
AT LEAST 2 N PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=1023, FalsePositive=0, FalseNegative=19]
AT LEAST 2 N PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=2086, FalsePositive=0, FalseNegative=59]
AT LEAST 2 N PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=1641, FalsePositive=0, FalseNegative=22]
AT LEAST 2 T PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=25, TrueNegative=0, FalsePositive=185, FalseNegative=0]
AT LEAST 2 T PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=16, TrueNegative=0, FalsePositive=57, FalseNegative=0]
AT LEAST 2 T PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=39, TrueNegative=0, FalsePositive=234, FalseNegative=0]
AT LEAST 2 T PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=36, TrueNegative=0, FalsePositive=130, FalseNegative=0]
ALL N CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=2024, FalsePositive=0, FalseNegative=11]
ALL N CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=2515, FalsePositive=0, FalseNegative=20]
ALL N METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=2024, FalsePositive=0, FalseNegative=11]
ALL N METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=2515, FalsePositive=0, FalseNegative=20]
ALL T CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=13, TrueNegative=0, FalsePositive=46, FalseNegative=0]
ALL T CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=32, TrueNegative=0, FalsePositive=128, FalseNegative=0]
ALL T METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=13, TrueNegative=0, FalsePositive=46, FalseNegative=0]
MAJORITY PARAMETERS CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=264, FalsePositive=30, FalseNegative=8]
AT LEAST 1N PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=276, FalsePositive=0, FalseNegative=8]
AT LEAST 1T PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=30, FalseNegative=0]
AT LEAST 2T PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=3, FalseNegative=0]
AT LEAST 2N PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=89, FalsePositive=0, FalseNegative=0]
ALL N PARAMETERS: PredictionEvaluation [TruePositive=0, TrueNegative=264, FalsePositive=0, FalseNegative=8]
ALL T PARAMETERS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=18, FalseNegative=0]
