 
 28876, org.jhotdraw.geom.BezierPathIterator.currentSegment([D)I, 01: Paint figures and connections, leaf, T, T, T, LeafMixedSurroundedT, CT, 3, 2, 0, 0, 0, 0
 28877, org.jhotdraw.geom.BezierPathIterator.currentSegment([D)I, 02: Create figures and connections, leaf, N, N, N, LeafMixedSurroundedN, CN, 0, 5, 0, 0, 0, 0
 28878, org.jhotdraw.geom.BezierPathIterator.currentSegment([D)I, 03: Delete figures, leaf, N, N, N, LeafMixedSurroundedN, CN, 0, 5, 0, 0, 0, 0
 28879, org.jhotdraw.geom.BezierPathIterator.currentSegment([D)I, 04: Delete connections, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 5, 0, 0, 0, 0
 28880, org.jhotdraw.geom.BezierPathIterator.currentSegment([D)I, 05: Select and deselect figures, leaf, N, N, N, LeafMixedSurroundedN, CN, 0, 5, 0, 0, 0, 0
 28881, org.jhotdraw.geom.BezierPathIterator.currentSegment([D)I, 06: Move- scale- or rotate figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 5, 0, 0, 0, 0
 28882, org.jhotdraw.geom.BezierPathIterator.currentSegment([D)I, 07: Change properties of figures, leaf, N, N, N, LeafMixedSurroundedN, CN, 0, 5, 0, 0, 0, 0
 28883, org.jhotdraw.geom.BezierPathIterator.currentSegment([D)I, 08: Edit  text in figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 5, 0, 0, 0, 0
 28884, org.jhotdraw.geom.BezierPathIterator.currentSegment([D)I, 09: Align figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 5, 0, 0, 0, 0
 28885, org.jhotdraw.geom.BezierPathIterator.currentSegment([D)I, 10: Change z-ordering, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 5, 0, 0, 0, 0
 28886, org.jhotdraw.geom.BezierPathIterator.currentSegment([D)I, 11: Grouping and ungrouping figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 5, 0, 0, 0, 0
 28887, org.jhotdraw.geom.BezierPathIterator.currentSegment([D)I, 12: Launch the application, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 5, 0, 0, 0, 0
 28888, org.jhotdraw.geom.BezierPathIterator.currentSegment([D)I, 13: Open an existing drawing, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 5, 0, 0, 0, 0
 28889, org.jhotdraw.geom.BezierPathIterator.currentSegment([D)I, 14: Save a drawing, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 5, 0, 0, 0, 0
 28890, org.jhotdraw.geom.BezierPathIterator.currentSegment([D)I, 15: Scalability:  Drawings should be as large as possible, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 5, 0, 0, 0, 0
