 4537, org.jhotdraw.draw.AbstractCompositeFigure$EventHandler.-init-(org/jhotdraw/draw/AbstractCompositeFigure;)V, 01: Paint figures and connections, inner, T, T, F, InnerBoundary, IT, 2, 0, 0, 0, 1, 0
 4538, org.jhotdraw.draw.AbstractCompositeFigure$EventHandler.-init-(org/jhotdraw/draw/AbstractCompositeFigure;)V, 02: Create figures and connections, inner, T, T, F, InnerBoundary, IT, 2, 0, 0, 0, 1, 0
 4539, org.jhotdraw.draw.AbstractCompositeFigure$EventHandler.-init-(org/jhotdraw/draw/AbstractCompositeFigure;)V, 03: Delete figures, inner, T, T, N, InnerMixedSurroundedN, IT, 1, 1, 0, 0, 1, 0
 4540, org.jhotdraw.draw.AbstractCompositeFigure$EventHandler.-init-(org/jhotdraw/draw/AbstractCompositeFigure;)V, 04: Delete connections, inner, N, N, N, InnerPureSurroundedN, CN, 0, 2, 0, 0, 1, 0
 4541, org.jhotdraw.draw.AbstractCompositeFigure$EventHandler.-init-(org/jhotdraw/draw/AbstractCompositeFigure;)V, 05: Select and deselect figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 2, 0, 0, 1, 0
 4542, org.jhotdraw.draw.AbstractCompositeFigure$EventHandler.-init-(org/jhotdraw/draw/AbstractCompositeFigure;)V, 06: Move- scale- or rotate figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 2, 0, 0, 1, 0
 4543, org.jhotdraw.draw.AbstractCompositeFigure$EventHandler.-init-(org/jhotdraw/draw/AbstractCompositeFigure;)V, 07: Change properties of figures, inner, T, T, N, InnerMixedSurroundedN, IT, 1, 1, 0, 0, 1, 0
 4544, org.jhotdraw.draw.AbstractCompositeFigure$EventHandler.-init-(org/jhotdraw/draw/AbstractCompositeFigure;)V, 08: Edit  text in figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 2, 0, 0, 1, 0
 4545, org.jhotdraw.draw.AbstractCompositeFigure$EventHandler.-init-(org/jhotdraw/draw/AbstractCompositeFigure;)V, 09: Align figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 2, 0, 0, 1, 0
 4546, org.jhotdraw.draw.AbstractCompositeFigure$EventHandler.-init-(org/jhotdraw/draw/AbstractCompositeFigure;)V, 10: Change z-ordering, inner, N, N, N, InnerPureSurroundedN, CN, 0, 2, 0, 0, 1, 0
 4547, org.jhotdraw.draw.AbstractCompositeFigure$EventHandler.-init-(org/jhotdraw/draw/AbstractCompositeFigure;)V, 11: Grouping and ungrouping figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 2, 0, 0, 1, 0
 4548, org.jhotdraw.draw.AbstractCompositeFigure$EventHandler.-init-(org/jhotdraw/draw/AbstractCompositeFigure;)V, 12: Launch the application, inner, N, N, N, InnerPureSurroundedN, CN, 0, 2, 0, 0, 1, 0
 4549, org.jhotdraw.draw.AbstractCompositeFigure$EventHandler.-init-(org/jhotdraw/draw/AbstractCompositeFigure;)V, 13: Open an existing drawing, inner, N, N, N, InnerPureSurroundedN, CN, 0, 2, 0, 0, 1, 0
 4550, org.jhotdraw.draw.AbstractCompositeFigure$EventHandler.-init-(org/jhotdraw/draw/AbstractCompositeFigure;)V, 14: Save a drawing, inner, N, N, N, InnerPureSurroundedN, CN, 0, 2, 0, 0, 1, 0
 4551, org.jhotdraw.draw.AbstractCompositeFigure$EventHandler.-init-(org/jhotdraw/draw/AbstractCompositeFigure;)V, 15: Scalability:  Drawings should be as large as possible, inner, N, N, N, InnerPureSurroundedN, CN, 0, 2, 0, 0, 1, 0
 4552, org.jhotdraw.draw.AbstractCompositeFigure$EventHandler.-init-(org/jhotdraw/draw/AbstractCompositeFigure;)V, 16: Performance: Quickly redraw figures if changed, inner, N, N, N, InnerMixedSurroundedN, CN, 1, 1, 0, 0, 1, 0
 4553, org.jhotdraw.draw.AbstractCompositeFigure$EventHandler.-init-(org/jhotdraw/draw/AbstractCompositeFigure;)V, 17: Performance: Quickly locate figures based on x-y coordinates, inner, N, N, N, InnerMixedSurroundedN, CN, 1, 1, 0, 0, 1, 0
 4554, org.jhotdraw.draw.AbstractCompositeFigure$EventHandler.-init-(org/jhotdraw/draw/AbstractCompositeFigure;)V, 18: Interoperability: Support data exchange via the clipboard, inner, N, N, N, InnerPureSurroundedN, CN, 0, 2, 0, 0, 1, 0
 4555, org.jhotdraw.draw.AbstractCompositeFigure$EventHandler.-init-(org/jhotdraw/draw/AbstractCompositeFigure;)V, 19: Usability: Support operating system specific user interfaces, inner, N, N, N, InnerPureSurroundedN, CN, 0, 2, 0, 0, 1, 0
 4556, org.jhotdraw.draw.AbstractCompositeFigure$EventHandler.-init-(org/jhotdraw/draw/AbstractCompositeFigure;)V, 20: Performance: Strive for a short startup latency, inner, N, N, N, InnerPureSurroundedN, CN, 0, 2, 0, 0, 1, 0
 4557, org.jhotdraw.draw.AbstractCompositeFigure$EventHandler.-init-(org/jhotdraw/draw/AbstractCompositeFigure;)V, 21: Recoverability: periodic auto-save, inner, N, N, N, InnerPureSurroundedN, CN, 0, 2, 0, 0, 1, 0
 8275, org.jhotdraw.draw.AttributeKeys$Alignment.-init-()V, 01: Paint figures and connections, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8276, org.jhotdraw.draw.AttributeKeys$Alignment.-init-()V, 02: Create figures and connections, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8277, org.jhotdraw.draw.AttributeKeys$Alignment.-init-()V, 03: Delete figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8278, org.jhotdraw.draw.AttributeKeys$Alignment.-init-()V, 04: Delete connections, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8279, org.jhotdraw.draw.AttributeKeys$Alignment.-init-()V, 05: Select and deselect figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8280, org.jhotdraw.draw.AttributeKeys$Alignment.-init-()V, 06: Move- scale- or rotate figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8281, org.jhotdraw.draw.AttributeKeys$Alignment.-init-()V, 07: Change properties of figures, inner, T, T, T, InnerPureSurroundedT, CT, 1, 0, 0, 1, 0, 0
 8282, org.jhotdraw.draw.AttributeKeys$Alignment.-init-()V, 08: Edit  text in figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8283, org.jhotdraw.draw.AttributeKeys$Alignment.-init-()V, 09: Align figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8284, org.jhotdraw.draw.AttributeKeys$Alignment.-init-()V, 10: Change z-ordering, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8285, org.jhotdraw.draw.AttributeKeys$Alignment.-init-()V, 11: Grouping and ungrouping figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8286, org.jhotdraw.draw.AttributeKeys$Alignment.-init-()V, 12: Launch the application, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8287, org.jhotdraw.draw.AttributeKeys$Alignment.-init-()V, 13: Open an existing drawing, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8288, org.jhotdraw.draw.AttributeKeys$Alignment.-init-()V, 14: Save a drawing, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8289, org.jhotdraw.draw.AttributeKeys$Alignment.-init-()V, 15: Scalability:  Drawings should be as large as possible, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8290, org.jhotdraw.draw.AttributeKeys$Alignment.-init-()V, 16: Performance: Quickly redraw figures if changed, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8291, org.jhotdraw.draw.AttributeKeys$Alignment.-init-()V, 17: Performance: Quickly locate figures based on x-y coordinates, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8292, org.jhotdraw.draw.AttributeKeys$Alignment.-init-()V, 18: Interoperability: Support data exchange via the clipboard, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8293, org.jhotdraw.draw.AttributeKeys$Alignment.-init-()V, 19: Usability: Support operating system specific user interfaces, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8294, org.jhotdraw.draw.AttributeKeys$Alignment.-init-()V, 20: Performance: Strive for a short startup latency, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8295, org.jhotdraw.draw.AttributeKeys$Alignment.-init-()V, 21: Recoverability: periodic auto-save, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8296, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 01: Paint figures and connections, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8297, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 02: Create figures and connections, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8298, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 03: Delete figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8299, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 04: Delete connections, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8300, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 05: Select and deselect figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8301, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 06: Move- scale- or rotate figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8302, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 07: Change properties of figures, leaf, T, T, T, LeafPureSurroundedT, CT, 1, 0, 0, 0, 0, 0
 8303, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 08: Edit  text in figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8304, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 09: Align figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8305, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 10: Change z-ordering, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8306, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 11: Grouping and ungrouping figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8307, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 12: Launch the application, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8308, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 13: Open an existing drawing, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8309, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 14: Save a drawing, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8310, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 15: Scalability:  Drawings should be as large as possible, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8311, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 16: Performance: Quickly redraw figures if changed, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8312, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 17: Performance: Quickly locate figures based on x-y coordinates, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8313, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 18: Interoperability: Support data exchange via the clipboard, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8314, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 19: Usability: Support operating system specific user interfaces, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8315, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 20: Performance: Strive for a short startup latency, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8316, org.jhotdraw.draw.AttributeKeys$Alignment.-init-(java/lang/String;int)V, 21: Recoverability: periodic auto-save, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8338, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 01: Paint figures and connections, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8339, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 02: Create figures and connections, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8340, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 03: Delete figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8341, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 04: Delete connections, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8342, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 05: Select and deselect figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8343, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 06: Move- scale- or rotate figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8344, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 07: Change properties of figures, inner, T, T, T, InnerPureSurroundedT, CT, 1, 0, 0, 1, 0, 0
 8345, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 08: Edit  text in figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8346, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 09: Align figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8347, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 10: Change z-ordering, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8348, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 11: Grouping and ungrouping figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 8349, org.jhotdraw.draw.AttributeKeys$Orientation.-init-()V, 12: Launch the application, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
