OWNER CLASS PREDICTION: PredictionEvaluation [TruePositive=0, TrueNegative=99, FalsePositive=0, FalseNegative=0]
MAJORITY CLASS LEVEL CALLERS PREDICTION: PredictionEvaluation [TruePositive=131, TrueNegative=99, FalsePositive=836, FalseNegative=0]
MAJORITY CLASS LEVEL CALLEES PREDICTION: PredictionEvaluation [TruePositive=151, TrueNegative=66, FalsePositive=157, FalseNegative=0]
MAJORITY METHOD LEVEL CALLERS PREDICTION: PredictionEvaluation [TruePositive=131, TrueNegative=99, FalsePositive=836, FalseNegative=0]
MAJORITY METHOD LEVEL CALLEES PREDICTION: PredictionEvaluation [TruePositive=151, TrueNegative=66, FalsePositive=157, FalseNegative=0]
AT LEAST 1 N PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=99, FalsePositive=0, FalseNegative=0]
AT LEAST 1 N PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=66, FalsePositive=0, FalseNegative=0]
AT LEAST 1 N PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=99, FalsePositive=0, FalseNegative=0]
AT LEAST 1 N PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=66, FalsePositive=0, FalseNegative=0]
AT LEAST 1 T PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=131, TrueNegative=0, FalsePositive=836, FalseNegative=0]
AT LEAST 1 T PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=151, TrueNegative=0, FalsePositive=157, FalseNegative=0]
AT LEAST 1 T PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=131, TrueNegative=0, FalsePositive=836, FalseNegative=0]
AT LEAST 1 T PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=151, TrueNegative=0, FalsePositive=157, FalseNegative=0]
AT LEAST 2 N PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=0]
AT LEAST 2 N PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=0]
AT LEAST 2 N PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=0]
AT LEAST 2 N PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=0]
AT LEAST 2 T PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=44, TrueNegative=0, FalsePositive=120, FalseNegative=0]
AT LEAST 2 T PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=20, TrueNegative=0, FalsePositive=18, FalseNegative=0]
AT LEAST 2 T PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=131, TrueNegative=0, FalsePositive=836, FalseNegative=0]
AT LEAST 2 T PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=129, TrueNegative=0, FalsePositive=129, FalseNegative=0]
ALL N CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=33, FalsePositive=0, FalseNegative=0]
ALL N CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=66, FalsePositive=0, FalseNegative=0]
ALL N METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=33, FalsePositive=0, FalseNegative=0]
ALL N METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=66, FalsePositive=0, FalseNegative=0]
ALL T CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=48, TrueNegative=0, FalsePositive=311, FalseNegative=0]
ALL T CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=73, TrueNegative=0, FalsePositive=18, FalseNegative=0]
ALL T METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=48, TrueNegative=0, FalsePositive=311, FalseNegative=0]
MAJORITY PARAMETERS CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=0]
AT LEAST 1N PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=0]
AT LEAST 1T PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=0]
AT LEAST 2T PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=0]
AT LEAST 2N PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=0]
ALL N PARAMETERS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=0]
ALL T PARAMETERS: PredictionEvaluation [TruePositive=0, TrueNegative=0, FalsePositive=0, FalseNegative=0]
